cx,ticker,bid,ask,ts
IC1,HCC,650.0,750.0,1761416200623
CI2,HE,,350.0,1761416200623
NC2,HE,,65.0,1761416200623
NC2,LIO,,68.6,1761416200623
IC1,MAG,104.0,220.0,1761416200623
NC1,PSH,8000.0,12000.0,1761416200623
IC1,SBU,30000.0,31400.0,1761416200623
CI1,SSL,,35000.0,1761416200623
CI1,SUN,351.0,650.0,1761416200623
NC1,EES,38000.0,43900.0,1761416200623
NC1,ETC,11000.0,18400.0,1761416200623
IC1,INS,156.0,179.0,1761416200623
NC1,COT,3030.0,3900.0,1761416200623
NC1,TBU,54000.0,57800.0,1761416200623
IC1,EPO,160.0,174.0,1761416200623
IC1,HSE,12200.0,13000.0,1761416200623
AI1,DIS,,7500.0,1761416200623
IC1,BDE,2310.0,2340.0,1761416200623
NC2,ABH,,60000.0,1761416200623
CI1,BOS,,5150.0,1761416200623
IC1,PFE,660.0,1490.0,1761416200623
NC1,LHP,3300.0,4000.0,1761416200623
CI2,AL,950.0,1250.0,1761416200623
AI1,AR,129.0,195.0,1761416200623
CI1,CBM,63000.0,,1761416200623
IC1,HEX,1000.0,2000.0,1761416200623
NC1,HEX,1000.0,2000.0,1761416200623
NC2,HMS,,2000.0,1761416200623
CI2,HOP,,2400.0,1761416200623
CI1,HPC,25000.0,27000.0,1761416200623
IC1,HPC,27000.0,,1761416200623
IC1,BHP,2750.0,4140.0,1761416200623
NC1,BRM,196.0,249.0,1761416200623
AI1,SUN,520.0,620.0,1761416200623
IC1,PK,,1350.0,1761416200623
IC1,FSE,650000.0,950000.0,1761416200623
CI1,AR,141.0,154.0,1761416200623
CI1,NCS,37.0,40.5,1761416200623
IC1,LDE,9230.0,13500.0,1761416200623
CI1,PDA,2000.0,2590.0,1761416200623
NC2,AR,,270.0,1761416200623
NC2,REP,600.0,800.0,1761416200623
CI1,BCO,700.0,800.0,1761416200623
CI1,LST,100.0,120.0,1761416200623
IC1,LBH,4400.0,5000.0,1761416200623
AI1,BR2,,899000.0,1761416200623
AI1,MAG,305.0,400.0,1761416200623
IC1,ADE,35000.0,45900.0,1761416200623
CI2,AUO,225.0,,1761416200623
IC1,EES,,69700.0,1761416200623
AI1,F,1000.0,3900.0,1761416200623
AI1,GWS,7000000.0,,1761416200623
NC2,HPC,,28000.0,1761416200623
NC1,HPR,,790000.0,1761416200623
NC2,HSE,5000.0,12000.0,1761416200623
CI1,HTE,,5000000.0,1761416200623
NC2,I,,1110.0,1761416200623
NC1,GEN,165000.0,270000.0,1761416200623
IC1,AR,125.0,238.0,1761416200623
NC2,AWF,,5950.0,1761416200623
AI1,PT,495.0,638.0,1761416200623
AI1,AST,2510.0,3400.0,1761416200623
IC1,CLI,110.0,180.0,1761416200623
AI1,CL,2720.0,3400.0,1761416200623
AI1,POW,14100.0,15500.0,1761416200623
CI1,LCB,,733000.0,1761416200623
IC1,PWO,320.0,365.0,1761416200623
CI1,MB,7700.0,8000.0,1761416200623
NC2,COT,,4000.0,1761416200623
CI2,ALE,,1500.0,1761416200623
IC1,RHP,,4990.0,1761416200623
NC1,RHP,,4980.0,1761416200623
NC2,BDE,2000.0,2300.0,1761416200623
AI1,FFC,240000.0,265000.0,1761416200623
NC1,HTE,3000000.0,5000000.0,1761416200623
NC2,KV,,34000.0,1761416200623
NC2,LC,,5000.0,1761416200623
AI1,LES,950.0,1980.0,1761416200623
NC1,ALG,300.0,340.0,1761416200623
IC1,C,760.0,794.0,1761416200623
CI1,SCN,2180.0,2400.0,1761416200623
CI1,LES,950.0,1300.0,1761416200623
CI1,GIN,1420.0,1710.0,1761416200623
IC1,AEF,3030.0,4780.0,1761416200623
NC1,CQL,1500000.0,1700000.0,1761416200623
AI1,CCD,80100.0,80200.0,1761416200623
CI1,BND,,325.0,1761416200623
IC1,MSL,120000.0,,1761416200623
CI1,RTA,11700.0,15500.0,1761416200623
NC1,MFK,225.0,258.0,1761416200623
IC1,AU,1110.0,1390.0,1761416200623
NC1,CD,12000.0,,1761416200623
NC1,GRA,2810.0,3200.0,1761416200623
IC1,NST,1300.0,1670.0,1761416200623
