ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
2,CB-045c,CB-045c,Advanced Metal Works,AMW,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,6.0,5400.0,CIS,2,1757517495657,1757690295657,
10590,AM-783c,Ementior,Faasy Fon,FAAF,lightweightStructuralElements,LSE,ef423f673d9e8c82043b4c5c63f6b55e,0.30000001192092896,1.2000000476837158,1.0,11300.0,CIS,2,1760850238945,1761109438945,
10589,AM-783c,Ementior,Faasy Fon,FAAF,lightweightDeckElements,LDE,ef423f673d9e8c82043b4c5c63f6b55e,0.10000000149011612,1.2000000476837158,1.0,10000.0,CIS,2,1760850216221,1761109416221,
3635,CB-282d,CB-282d,Eminence Heavy Industries,EM32,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1.0,1000.0,90000.0,CIS,3,1761228295120,1763733895120,
3634,CB-282d,CB-282d,Eminence Heavy Industries,EM32,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1.0,1000.0,90000.0,CIS,3,1761228293597,1763733893597,
7,YI-705b,YI-705b,Kamalcorp,KC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,100.0,100000.0,NCC,3,1761102454209,1761361654209,
6,YI-705b,YI-705b,Kamalcorp,KC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,100.0,100000.0,NCC,3,1761102452901,1761361652901,
5,YI-705b,YI-705b,Kamalcorp,KC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,100.0,100000.0,NCC,3,1761102451159,1761361651159,
4,YI-705b,YI-705b,Kamalcorp,KC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,100.0,100000.0,NCC,3,1761102449129,1761361649129,
3,CB-045c,CB-045c,Advanced Metal Works,AMW,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,6.0,5400.0,CIS,2,1757517496740,1757690296740,
1,CB-045c,CB-045c,Advanced Metal Works,AMW,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,6.0,5400.0,CIS,2,1757517494635,1757690294635,
0,CB-045c,CB-045c,Advanced Metal Works,AMW,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,6.0,5400.0,CIS,2,1757517492511,1757690292511,
31300,FK-794b,Boucher,Vox Lunaris,VLNS,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,5000.0,160000.0,AIC,5,1761396855421,1763124855421,
31299,FK-794b,Boucher,Vox Lunaris,VLNS,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,5000.0,160000.0,AIC,5,1761396854804,1763124854804,
31298,FK-794b,Boucher,Vox Lunaris,VLNS,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,5000.0,160000.0,AIC,5,1761396853965,1763124853965,
