ts_ms,category,rank,cx,ticker,value,aux,note
1761416245190,arb_margin,12,NC2->NC1,LST,45.45454545454545,50.0,
1761416245190,arb_margin,13,CI2->AI1,DD,44.0,11000.0,
1761416245190,arb_margin,14,CI2->NC1,PWO,42.06896551724138,122.0,
1761416245190,arb_margin,15,IC1->AI1,MAG,38.63636363636363,85.0,
1761416245190,arb_margin,16,NC2->NC1,ALE,37.0,370.0,
1761416245190,arb_margin,17,NC2->AI1,S,33.57142857142857,47.0,
1761416245190,arb_margin,18,IC1->NC1,HOP,33.333333333333336,750.0,
1761416245190,arb_margin,19,NC1->AI1,MWF,33.333333333333336,100.0,
1761416245190,arb_margin,20,NC2->IC1,TC,33.333333333333336,2500.0,
1761416245190,arb_margin,21,IC1->AI1,TS,31.35593220338983,37.0,
1761416245190,arb_margin,22,CI1->CI2,AR,29.87012987012987,46.0,
1761416245190,arb_margin,23,NC2->AI1,UTS,29.310344827586206,1360.0,
1761416245190,arb_margin,24,NC2->CI1,MFK,28.0,56.0,
1761416245190,arb_margin,25,NC2->AI1,N,27.835051546391753,27.0,
1761416245190,arb_margin,26,NC2->AI1,H,27.61904761904762,29.0,
1761416245190,arb_margin,27,IC1->CI1,RCO,26.262626262626263,260.0,
1761416245190,arb_margin,28,CI2->AI1,AMM,26.0,26.0,
1761416245190,arb_margin,29,CI2->AI1,RDE,25.925925925925927,7000.0,
1761416245190,arb_margin,30,NC1->AI1,TIO,25.5,51.0,
1761416245190,arb_margin,31,CI2->IC1,GAL,25.0,40.0,
1761416245190,arb_margin,32,NC2->AI1,MG,25.0,20.0,
1761416245190,arb_margin,33,IC1->CI1,NE,25.0,50.0,
1761416245190,arb_margin,34,NC2->AI1,TI,24.705882352941178,420.0,
1761416245190,arb_margin,35,CI1->NC1,BHP,23.588039867109636,710.0,
1761416245190,arb_margin,36,NC2->AI1,ZIR,23.45679012345679,152.0,
1761416245190,arb_margin,37,CI2->NC1,SUN,22.325581395348838,96.0,
1761416245190,arb_margin,38,CI2->NC1,HAL,22.22222222222222,50.0,
1761416245190,arb_margin,39,CI1->IC1,SF,21.05263157894737,2.8000000000000007,
1761416245190,arb_margin,40,NC2->AI1,C,20.933333333333334,157.0,
1761416245190,arb_margin,41,NC2->NC1,SI,20.666666666666668,310.0,
1761416245190,arb_margin,42,CI1->AI1,PSL,20.58823529411765,700.0,
1761416245190,arb_margin,43,CI1->AI1,CA,20.0,100.0,
1761416245190,arb_margin,44,NC2->AI1,CAP,20.0,50.0,
1761416245190,arb_margin,45,CI2->NC1,SCR,20.0,20.0,
1761416245190,arb_margin,46,IC1->CI2,FF,18.75,3.0,
1761416245190,arb_margin,47,IC1->NC1,ALO,18.181818181818183,36.0,
1761416245190,arb_margin,48,NC2->IC1,FE,17.647058823529413,150.0,
1761416245190,arb_margin,49,NC1->AI1,BTA,17.5,210.0,
1761416245190,arb_margin,50,IC1->AI1,ZR,16.666666666666668,2000.0,
1761416245190,maker_profit,1,IC1,HYR,99.99988571435102,874999.5,
1761416245190,maker_profit,2,IC1,BGS,99.99899497992472,99499.5,
1761416245190,maker_profit,3,IC1,STS,99.99894180454072,94499.5,
1761416245190,maker_profit,4,NC1,JUI,99.99797981838567,49499.5,
1761416245190,maker_profit,5,IC1,MFE,99.9956475375944,45949.0,
1761416245190,maker_profit,6,NC1,MTC,99.96667222129645,1499.75,
1761416245190,maker_profit,7,CI1,MWF,99.5,199.0,
1761416245190,maker_profit,8,CI1,SEA,98.70967741935483,76.5,
1761416245190,maker_profit,9,CI2,NA,91.60305343511449,12.0,
1761416245190,maker_profit,10,CI1,FOD,90.38461538461539,235.0,
1761416245190,maker_profit,11,NC1,SPT,88.67924528301887,4700.0,
1761416245190,maker_profit,12,IC1,MWF,88.23529411764706,225.0,
1761416245190,maker_profit,13,NC2,NA,88.23529411764706,7.5,
1761416245190,maker_profit,14,AI1,PSH,85.18518518518519,46000.0,
1761416245190,maker_profit,15,NC1,ZIR,84.50184501845018,2290.0,
1761416245190,maker_profit,16,IC1,ENG,83.33333333333333,500000.0,
1761416245190,maker_profit,17,CI1,TAI,81.81818181818181,2250.0,
1761416245190,maker_profit,18,IC1,CA,80.0,400.0,
1761416245190,maker_profit,19,CI1,TC,78.82352941176471,8375.0,
1761416245190,maker_profit,20,IC1,F,76.24521072796935,995.0,
1761416245190,maker_profit,21,CI1,TCO,76.05633802816901,432.0,
1761416245190,maker_profit,22,CI1,WM,76.0,19000.0,
1761416245190,maker_profit,23,IC1,PIB,73.64953886693017,279.5,
1761416245190,maker_profit,24,AI1,KR,71.34670487106017,1245.0,
1761416245190,maker_profit,25,NC1,CA,70.57569296375266,496.5,
1761416245190,maker_profit,26,CI1,KR,69.6969696969697,1150.0,
1761416245190,maker_profit,27,NC1,KR,69.6969696969697,1150.0,
1761416245190,maker_profit,28,AI1,SRP,66.66666666666667,8000.0,
1761416245190,maker_profit,29,CI1,BRS,66.66666666666667,400000.0,
1761416245190,maker_profit,30,CI1,BRM,66.24472573839662,314.0,
1761416245190,maker_profit,31,AI1,GC,63.63636363636363,140.0,
1761416245190,maker_profit,32,NC2,HE3,62.1342512908778,361.0,
